fecha_hora_med,id_parametro,valor
2019-04-27 04:03:14.501 ,pm25_a,24.500001907348636
2019-04-27 03:02:50.648 ,pm25_a,21.666667938232425
2019-04-27 02:02:50.654 ,pm25_a,24.166667938232425
2019-04-27 01:26:09.967 ,pm25_a,28.66666603088379
2019-04-26 12:02:50.230 ,pm25_a,8.666666030883789
2019-04-26 11:02:50.230 ,pm25_a,11.583333969116213
2019-04-26 10:02:50.220 ,pm25_a,11.916667938232422
2019-04-26 09:03:00.333 ,pm25_a,8.416666030883789
2019-04-26 08:02:50.300 ,pm25_a,13.500000953674316
2019-04-26 07:02:50.220 ,pm25_a,10.25
2019-04-26 06:02:50.320 ,pm25_a,14.666666984558104
2019-04-26 05:02:50.220 ,pm25_a,11.416666984558104
2019-04-26 04:04:40.338 ,pm25_a,10.416666030883787
2019-04-26 03:02:50.658 ,pm25_a,10.583333015441896
2019-04-26 02:03:00.969 ,pm25_a,11.333333015441896
2019-04-26 01:02:50.653 ,pm25_a,13.583333015441896
2019-04-26 00:02:50.656 ,pm25_a,13.999999046325684
2019-04-25 23:02:50.690 ,pm25_a,11.75
2019-04-25 22:02:50.673 ,pm25_a,11.416666984558104
2019-04-25 21:02:50.609 ,pm25_a,13.083333969116213
2019-04-25 20:03:00.988 ,pm25_a,13.666666984558104
2019-04-25 19:02:50.652 ,pm25_a,15.0
2019-04-25 18:02:50.651 ,pm25_a,11.166666030883787
2019-04-25 17:02:50.649 ,pm25_a,19.16666603088379
2019-04-25 16:02:50.650 ,pm25_a,10.833333015441896
2019-04-25 15:02:50.687 ,pm25_a,11.083332061767578
2019-04-25 14:02:50.682 ,pm25_a,14.666666984558104
2019-04-25 13:03:00.977 ,pm25_a,9.833333015441896
2019-04-25 12:02:50.662 ,pm25_a,13.666666984558104
2019-04-25 11:02:50.661 ,pm25_a,7.249999523162842
2019-04-25 10:02:50.663 ,pm25_a,4.5
2019-04-25 09:02:50.663 ,pm25_a,4.666666030883789
2019-04-25 08:02:50.673 ,pm25_a,5.0
2019-04-25 07:02:50.698 ,pm25_a,5.833333492279053
2019-04-25 06:37:04.991 ,pm25_a,6.583333015441895
2019-04-24 03:02:52.699 ,pm25_a,7.166666507720947
2019-04-24 02:02:52.689 ,pm25_a,6.750000953674316
2019-04-24 01:02:51.679 ,pm25_a,12.333333015441896
2019-04-24 00:03:02.120 ,pm25_a,11.75
2019-04-23 23:02:50.695 ,pm25_a,12.916666984558104
2019-04-23 22:03:01.996 ,pm25_a,13.833333015441896
2019-04-23 20:03:01.900 ,pm25_a,5.75
2019-04-23 19:02:50.767 ,pm25_a,4.25
2019-04-23 18:02:50.767 ,pm25_a,44.499996185302734
2019-04-23 17:02:50.766 ,pm25_a,3.999999761581421
2019-04-23 16:02:49.767 ,pm25_a,4.666666507720947
2019-04-23 15:03:01.100 ,pm25_a,20.25
2019-04-23 14:02:50.785 ,pm25_a,30.000001907348636
2019-04-23 13:03:03.301 ,pm25_a,18.33333396911621
2019-04-23 12:02:50.786 ,pm25_a,9.749999046325684
2019-04-23 11:02:50.786 ,pm25_a,7.0
2019-04-23 10:02:50.786 ,pm25_a,3.6666665077209473
2019-04-23 09:02:49.787 ,pm25_a,3.0833332538604736
